job_titles,company_names,company_locations,work_methods,post_dates,work_times
Sr Data Analyst- Flight Profitability Systems,WestJet,"WestJet · Calgary, AB · 1 week ago · 36 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Remote Data Analysis Tutor,"Varsity Tutors, a Nerdy Company","Varsity Tutors, a Nerdy Company · Nova Scotia, Canada · Reposted 1 week ago · 8 applicants",Remote,Reposted 1 week ago,Full-time
Data Analysis Trainee,ENTEGRA,"ENTEGRA · Leduc, AB · Reposted 1 week ago · 93 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
"Directeur(trice), normes professionnelles en certification méthodologie (national,bilingue, hybride)",MNP,"MNP · Sept-Îles, QC · Reposted 2 weeks ago · 1 applicant","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 weeks ago,Full-time
"Directeur(trice), normes professionnelles en certification méthodologie (national,bilingue, hybride)",MNP,"MNP · Rouyn-Noranda, QC · Reposted 2 weeks ago · 1 applicant","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 weeks ago,Full-time
Analyste en Contrôle Diligent & Données / Due Diligence & Data Analyst,Castle Hall ,"Castle Hall  · Montreal, QC · 1 week ago · 63 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Database Administrator and Data Governance Analyst,City of St. Catharines,"City of St. Catharines · St Catharines, ON · 3 weeks ago · 18 applicants","CA$82,968/yr - CA$95,200/yr",3 weeks ago,On-site
Information Management Analyst,ICES,"ICES · Toronto, ON · 4 weeks ago · 30 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",4 weeks ago,Hybrid
"Senior Data Analyst, ITS",GEOTAB,"GEOTAB · Oakville, ON · 2 weeks ago · 26 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Business Insights Analyst (Workforce Analyst) - Temporary 6 Months,ICBC (Insurance Corporation of British Columbia),"ICBC (Insurance Corporation of British Columbia) · Surrey, BC · 2 weeks ago · 50 applicants",CA$42.33/hr - CA$45.73/hr,2 weeks ago,Hybrid
COOP Business data analyst,Pratt & Whitney Canada,"Pratt & Whitney Canada · Longueuil, QC · Reposted 2 weeks ago · 45 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
"Data Analyst, Investment Data Analytics","Connor, Clark & Lunn Financial Group (CC&L)","Connor, Clark & Lunn Financial Group (CC&L) · Vancouver, BC · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Analyste en intelligence d'affaires et analytique RH,Revenu Québec,"Revenu Québec · Québec, QC · 3 days ago · 95 applicants",Remote,3 days ago,Full-time
Remote Data Analysis Tutor,"Varsity Tutors, a Nerdy Company","Varsity Tutors, a Nerdy Company · Alberta, Canada · Reposted 1 week ago · 8 applicants",Remote,Reposted 1 week ago,Full-time
