job_titles,company_names,company_locations,work_methods,post_dates,work_times
Strategic Analytics Consultant - Workday Solutions,Langara College,"Langara College · Vancouver, BC · 2 days ago · 26 applicants",CA$42.53/hr - CA$62.38/hr,2 days ago,On-site
Senior Data Analyst,Kano,"Kano · British Columbia, Canada · 1 week ago · 598 applicants","CA$75,000/yr - CA$110,000/yr",1 week ago,Full-time
Marketing Data Analyst,ToursByLocals,ToursByLocals · Canada · 4 days ago · 362 applicants,Remote,4 days ago,Full-time
AI/Machine Learning Analyst,Fujitsu,"Fujitsu · Ottawa, ON · 1 day ago · 97 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Power BI Consultant,Apex Systems,"Apex Systems · Mississauga, ON · 1 week ago · 114 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
ICQA Data Analyst,Amazon,"Amazon · Hamilton, ON · Reposted 3 days ago · 83 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 days ago,On-site
Analyste Power BI,GDG Informatique,"GDG Informatique · Québec, QC · 4 days ago · 53 applicants","On-site
Matches your job preferences, workplace type is On-site.",4 days ago,On-site
Data Analytics Analyst,Paramount Resources,"Paramount Resources · Calgary, AB · Reposted 1 week ago · 330 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Analyste BI,DELAN - Chasseurs de Talents en TI,"DELAN - Chasseurs de Talents en TI · Laval, QC · 1 week ago · 82 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Data Analyst,DELAN - Chasseurs de Talents en TI,"DELAN - Chasseurs de Talents en TI · Laval, QC · 1 week ago · 82 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Data Analyst,Hubio Technology,"Hubio Technology · Toronto, ON · Reposted 1 day ago · 458 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 day ago,Hybrid
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Toronto, ON · Reposted 2 days ago · 48 applicants",Remote,Reposted 2 days ago,Full-time
Master Data Analyst,Gay Lea Foods,"Gay Lea Foods · Mississauga, ON · Reposted 1 week ago · 793 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
ICQA Data Analyst,Amazon,"Amazon · St Thomas, ON · Reposted 1 week ago · 285 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · Toronto, ON · Reposted 1 week ago · 79 applicants",Remote,Reposted 1 week ago,Full-time
Data Analyst,Niagara Health,Niagara Health · Greater St-Catharines-Niagara Metropolitan Area · 1 day ago · 65 applicants,$45.09/hr - $51.01/hr,1 day ago,Hybrid
"Analyst, Fusion Intelligence Co-op - Fusion (4 Months)",CIBC,"CIBC · Toronto, ON · 1 day ago · 10 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 day ago,Full-time
