job_titles,company_names,company_locations,work_methods,post_dates,work_times
Analyste Power BI,GDG Informatique,"GDG Informatique · Québec, QC · 1 week ago · 51 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Senior Data Analyst,Kano,"Kano · British Columbia, Canada · 2 weeks ago · Over 100 applicants","CA$75,000/yr - CA$110,000/yr",2 weeks ago,Full-time
Data Analyst,Iris Software Inc.,"Iris Software Inc. · Toronto, ON · 1 day ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Data Governance Analyst,MUFG Investor Services,"MUFG Investor Services · Halifax, NS · 1 day ago · 83 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 day ago,On-site
Data Analyst II,Seaspan ULC,"Seaspan ULC · North Vancouver, BC · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Master Data Analyst,Gay Lea Foods,"Gay Lea Foods · Mississauga, ON · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Senior Data Analyst,Sport Chek,"Sport Chek · Calgary, AB · Reposted 1 week ago · 92 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Business Intelligence Analyst,Robert Half,"Robert Half · Edmonton, AB · 1 day ago · Over 100 applicants","CA$75,000/yr - CA$90,000/yr",1 day ago,On-site
Data Analyst,MatchBox Consulting Group,"MatchBox Consulting Group · Burnaby, BC · 1 day ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Power BI Analyst,Apex Systems,"Apex Systems · Toronto, ON · 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
Business Data Analyst,Nexus Energy Inc.,"Nexus Energy Inc. · North York, ON · 1 month ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 month ago,On-site
Business Intelligence Consultant,Modis,"Modis · Toronto, ON · 4 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",4 days ago,On-site
"Analyst, Data Mgmt & Governance",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 1 week ago · 95 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Business Intelligence Analyst,FCC / FAC,"FCC / FAC · Regina, SK · 1 week ago · 71 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Data Analyst,Water Security Agency,"Water Security Agency · Regina, SK · 2 days ago · 80 applicants",CA$32.88/hr - CA$41.13/hr,2 days ago,On-site
Senior Data Analyst,Mawer Investment Management,"Mawer Investment Management · Calgary, AB · 1 week ago · 57 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Risk & Trading Insights Analyst,theScore,"theScore · Toronto, ON · Reposted 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
"Analyst, Enterprise Analytics",Zendesk,"Zendesk · Montreal, QC · Reposted 43 minutes ago · 2 applicants",Remote,Reposted 43 minutes ago,Full-time
Customer Insights Analyst,Sofina Foods Inc.,"Sofina Foods Inc. · Markham, ON · 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Data Analyst,INNOCEAN Canada,"INNOCEAN Canada · Toronto, ON · 2 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
BHJOB15656_31169 - BI/SQL Analyst,Myticas Consulting,"Myticas Consulting · Ontario, Canada · Reposted 1 day ago · Over 100 applicants",Remote,Reposted 1 day ago,Hybrid
Data Analyst,Globalfaces Direct,"Globalfaces Direct · North York, ON · 3 weeks ago · Over 100 applicants","CA$55,000/yr - CA$60,000/yr",3 weeks ago,On-site
Data Analyst,Government of Manitoba,"Government of Manitoba · Winnipeg, MB · 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Data Analyst,Tundra Technical Solutions,"Tundra Technical Solutions · North Vancouver, BC · 3 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 days ago,On-site
"Expert, Data Analysis- EN",CN,"CN · Montreal, QC · 1 day ago · 47 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
"Analyst, Enterprise Analytics",Zendesk,"Zendesk · Montreal, QC · Reposted 45 minutes ago · 0 applicants",Remote,Reposted 45 minutes ago,Full-time
Business Intelligence Analyst,ERCO Worldwide,"ERCO Worldwide · Mississauga, ON · 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Information Analyst,Financial Services Regulatory Authority of Ontario (FSRA),"Financial Services Regulatory Authority of Ontario (FSRA) · Toronto, ON · 2 days ago · 27 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 days ago,Hybrid
Senior Data Analyst,Tekvaly,"Tekvaly · Mississauga, ON · 1 day ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Data Governance Analyst,H&R Block Canada,"H&R Block Canada · Calgary, AB · 2 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Data Analyst - Chilliwack / Matsqui / Surrey,First Nations Health Authority,"First Nations Health Authority · Vancouver, BC · 2 days ago · 96 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 days ago,Full-time
Data Analyst,Niagara Health,Niagara Health · Greater St-Catharines-Niagara Metropolitan Area · 1 week ago · Over 100 applicants,$45.09/hr - $51.01/hr,1 week ago,Hybrid
Data Analyst,Drug Intelligence,"Drug Intelligence · Toronto, ON · 2 weeks ago · Over 100 applicants","CA$60,000/yr - CA$80,000/yr",2 weeks ago,Hybrid
Supply Chain Data Analyst,ATS Corporation,"ATS Corporation · Cambridge, ON · 7 hours ago · 23 applicants","On-site
Matches your job preferences, workplace type is On-site.",7 hours ago,On-site
Senior Data Analyst,Iris Software Inc.,"Iris Software Inc. · Greater Toronto Area, Canada · 2 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 days ago,Hybrid
Senior Marketing Data Analyst,Tripadvisor,"Tripadvisor · Ottawa, ON · 1 day ago · 99 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Insights Analyst,Brooksource,"Brooksource · Vancouver, BC · 1 week ago · 91 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
"Data Analyst, Data Analytics",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 2 weeks ago · 80 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
Business Intelligence Analyst,Quantum Technology Recruiting Inc. (QTR),"Quantum Technology Recruiting Inc. (QTR) · Concord, ON · 3 days ago · Over 100 applicants",Remote,3 days ago,Full-time
Power BI Analyst/Specialist,"V-Soft Consulting Group, Inc.","V-Soft Consulting Group, Inc. · Ottawa, ON · 4 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",4 days ago,On-site
Analytics Consultant,Keasis,"Keasis · Montreal, QC · 1 day ago · 52 applicants",Remote,1 day ago,On-site
Senior Data Analyst,UST,"UST · Toronto, ON · Reposted 3 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 days ago,On-site
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · London, ON · Reposted 1 week ago · 70 applicants",Remote,Reposted 1 week ago,Full-time
Senior Data Analyst,Scene+,"Scene+ · Toronto, ON · 1 day ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Data Analyst - Azure,CGI,"CGI · Halifax, NS · Reposted 2 weeks ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 weeks ago,Full-time
Senior Quantitative Analyst,Suncor,"Suncor · Calgary, AB · Reposted 58 minutes ago · 74 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 58 minutes ago,On-site
Quality Data Analyst,Johnson Controls,"Johnson Controls · Edmonton, AB · Reposted 2 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
Business Intelligence Analyst Intern,Lafarge Canada,"Lafarge Canada · Mississauga, ON · Reposted 3 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 days ago,On-site
"ICQA Data Analyst, YYZ7",Amazon,"Amazon · Bolton, ON · Reposted 3 hours ago · 5 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 3 hours ago,Full-time
Data and Systems Analyst - Workforce Analytics,Empire Life,"Empire Life · Ontario, Canada · 4 days ago · Over 100 applicants",Remote,4 days ago,Full-time
Master Data Management - Data/Process Analyst,OpenText,"OpenText · Mississauga, ON · Reposted 2 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
Data Control Analyst,Parkland Corporation,"Parkland Corporation · Calgary, AB · Reposted 4 days ago · 84 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 4 days ago,On-site
Quantitative Analyst,Affirm,"Affirm · Victoria, BC · 1 week ago · 21 applicants",Remote,1 week ago,Full-time
Analyste BI Senior,CGI,"CGI · Quebec, Canada · 1 week ago · 29 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Analytics Analyst/Developer,"Novocol Pharma, a Septodont company","Novocol Pharma, a Septodont company · Cambridge, ON · 3 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 weeks ago,Hybrid
Analyste BI,DELAN - Chasseurs de Talents en TI,"DELAN - Chasseurs de Talents en TI · Laval, QC · 2 weeks ago · 71 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Quantitative Analyst,Affirm,"Affirm · London, ON · 1 week ago · 61 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Winnipeg, MB · 1 week ago · 43 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Hamilton, ON · 1 week ago · 51 applicants",Remote,1 week ago,Full-time
"Analyst, Load Forecasting",Nova Scotia Power,"Nova Scotia Power · Halifax, NS · 1 day ago · 79 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 day ago,Full-time
Sales Data Analyst,IFG - International Financial Group,"IFG - International Financial Group · Ontario, Canada · 16 hours ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",16 hours ago,Hybrid
Senior Data Analyst - Azure,CGI,"CGI · Edmonton, AB · Reposted 1 week ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Analyste BI senior,CGI,"CGI · Montreal, QC · 2 weeks ago · 43 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
ICQA Data Analyst,Amazon,"Amazon · Hamilton, ON · Reposted 3 hours ago · 2 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 3 hours ago,Full-time
"Analyst/Senior Analyst, Research & Analytics",Oxford Properties Group,"Oxford Properties Group · Toronto, ON · 1 week ago · 59 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Senior Data Insights Analyst,CARFAX Canada,"CARFAX Canada · London, ON · Reposted 3 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 weeks ago,On-site
Business Intelligence Analyst Intern 4 months - Summer 2024,Ceridian,Ceridian · Canada · Reposted 2 weeks ago · Over 100 applicants,Remote,Reposted 2 weeks ago,On-site
Fusion Intelligence Analyst (Cyber),BMO,"BMO · Ontario, Canada · 1 day ago · 16 applicants",Remote,1 day ago,Full-time
Data Governance Analyst,Randstad Canada,"Randstad Canada · Markham, ON · 8 hours ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",8 hours ago,Hybrid
"Senior Analyst, Market Insights",iGaming Ontario,"iGaming Ontario · Toronto, ON · 14 hours ago · 34 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",14 hours ago,Hybrid
Information Analyst,York University,"York University · Toronto, ON · Reposted 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Senior Data Analyst (Fixed Term),Sun Life,"Sun Life · Waterloo, ON · 5 hours ago · 1 applicant","On-site
Matches your job preferences, workplace type is On-site.",5 hours ago,On-site
Senior Data Analyst,Canadian Tire Corporation,"Canadian Tire Corporation · Toronto, ON · 2 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Senior Business Intelligence Analyst,Manulife,"Manulife · Ontario, Canada · 2 hours ago · 7 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 hours ago,Full-time
ANALYSTE BI,Levio,"Levio · Montreal, QC · 2 weeks ago · 95 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Analyst - Advanced data analytics,BBA Consultants,"BBA Consultants · Mont-St-Hilaire, QC · Reposted 4 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 4 days ago,Hybrid
Master Data Management - Data/Process Analyst,OpenText,"OpenText · Waterloo, ON · Reposted 2 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
Strategic Analytics Consultant - Workday Solutions,Langara College,"Langara College · Vancouver, BC · 1 week ago · 40 applicants",CA$42.53/hr - CA$62.38/hr,1 week ago,On-site
Quantitative Analyst,Affirm,"Affirm · Queens, PE · 2 weeks ago · 15 applicants",Remote,2 weeks ago,Full-time
Analyst - Advanced data analytics,BBA Consultants,"BBA Consultants · Montreal, QC · Reposted 2 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 days ago,Hybrid
Quantitative Analyst,Affirm,"Affirm · Regina, SK · 2 weeks ago · 13 applicants",Remote,2 weeks ago,Full-time
Data Analyst (Procurement),Symcor,"Symcor · Mississauga, ON · 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Field Competitive Intelligence Analyst (Remote),CrowdStrike,"CrowdStrike · Toronto, ON · 3 days ago · 41 applicants",Remote,3 days ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Calgary, AB · 2 weeks ago · 42 applicants",Remote,2 weeks ago,Full-time
Senior Data Analyst,Sun Life,"Sun Life · Toronto, ON · 4 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",4 weeks ago,Hybrid
Field Competitive Intelligence Analyst (Remote),CrowdStrike,"CrowdStrike · Calgary, AB · 3 days ago · 18 applicants",Remote,3 days ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Windsor, ON · 2 weeks ago · 18 applicants",Remote,2 weeks ago,Full-time
Senior Business Intelligence Analyst,RockWallet,RockWallet · Canada · 1 day ago · Over 100 applicants,Remote,1 day ago,Full-time
Field Competitive Intelligence Analyst (Remote),CrowdStrike,"CrowdStrike · Nova Scotia, Canada · 3 days ago · 28 applicants",Remote,3 days ago,Full-time
AI/Machine Learning Analyst,Fujitsu,"Fujitsu · Ottawa, ON · 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Field Competitive Intelligence Analyst (Remote),CrowdStrike,"CrowdStrike · Vancouver, BC · 3 days ago · 16 applicants",Remote,3 days ago,Full-time
"Sr Analyst, Business Intelligence (CPG)",Acosta Canada,"Acosta Canada · Mississauga, ON · Reposted 2 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 days ago,Hybrid
Analyste en Intelligence d'affaires,Akkodis,Akkodis · Greater Montreal Metropolitan Area · 4 days ago · Over 100 applicants,"Hybrid
Matches your job preferences, workplace type is Hybrid.",4 days ago,Hybrid
Master Data Management - Data/Process Analyst,OpenText,"OpenText · Richmond Hill, ON · Reposted 2 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
