job_titles,company_names,company_locations,work_methods,post_dates,work_times
Analytics Consultant - Alteryx Developer,Encore Technical Solutions Inc.,"Encore Technical Solutions Inc. · Toronto, ON · 1 week ago · 68 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
CRM Data Analyst,Invest Alberta,"Invest Alberta · Edmonton, AB · Reposted 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 3 days ago,Hybrid
Analyste Power BI,GDG Informatique,"GDG Informatique · Québec, QC · 2 weeks ago · 21 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 weeks ago,On-site
Power BI Analyst,Apex Systems,"Apex Systems · Toronto, ON · 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Bilingual Business Intelligence Analyst,Huntel Global,"Huntel Global · Montreal, QC · 3 days ago · 90 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
SPC Data Analyst,Magellan Aerospace Limited,"Magellan Aerospace Limited · Winnipeg, MB · Reposted 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Data Business Analyst,Atos,"Atos · Windsor, ON · Reposted 5 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 5 days ago,Full-time
Analyste BI,Groupe Geloso,"Groupe Geloso · Laval, QC · Reposted 2 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 weeks ago,Hybrid
Data Analyst,Water Security Agency,"Water Security Agency · Regina, SK · 1 week ago · 52 applicants",CA$32.88/hr - CA$41.13/hr,1 week ago,On-site
Data Analyst,MatchBox Consulting Group,"MatchBox Consulting Group · Burnaby, BC · 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Business Intelligence Analyst,United Way Centraide Canada,"United Way Centraide Canada · Ottawa, ON · 4 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",4 days ago,Hybrid
Data Analyst,BC Public School Employers' Association,"BC Public School Employers' Association · Vancouver, BC · 4 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",4 days ago,Hybrid
BHJOB15656_31169 - BI/SQL Analyst,Myticas Consulting,"Myticas Consulting · Ontario, Canada · Reposted 15 minutes ago · Over 100 applicants",Remote,Reposted 15 minutes ago,Hybrid
Business Intelligence Analyst,OSL Retail Services,"OSL Retail Services · Mississauga, ON · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Business Intelligence Analyst,OSL Retail Services,"OSL Retail Services · Mississauga, ON · 1 week ago · 98 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Business Intelligence Analyst,Robert Half,"Robert Half · Edmonton, AB · 1 week ago · Over 100 applicants","CA$75,000/yr - CA$90,000/yr",1 week ago,On-site
Senior Data Analyst,Kano,"Kano · British Columbia, Canada · 3 weeks ago · Over 100 applicants","CA$75,000/yr - CA$110,000/yr",3 weeks ago,Full-time
ANALYSTE BI,Levio,"Levio · Montreal, QC · 3 weeks ago · 84 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 weeks ago,Hybrid
Senior Data Analyst,Andersen in Canada,"Andersen in Canada · Vancouver, BC · 2 days ago · Over 100 applicants","CA$90,000/yr - CA$100,000/yr",2 days ago,Hybrid
Insights Analyst,Brooksource,"Brooksource · Vancouver, BC · 2 weeks ago · 56 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Data Analyst (Event Analysis and Insight),DRW,"DRW · Montreal, QC · 4 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",4 days ago,On-site
Business Data Analyst,Acunor,"Acunor · Toronto, ON · 3 days ago · Over 100 applicants","CA$60,000/yr - CA$70,000/yr",3 days ago,On-site
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · London, ON · Reposted 2 weeks ago · 59 applicants",Remote,Reposted 2 weeks ago,Full-time
Data Technology Consultant (Tableau/ETL/Talend),Keyrus,"Keyrus · Toronto, ON · 2 weeks ago · 55 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Data & Insights Analyst - 12 Month Contract,Universal Music Canada,"Universal Music Canada · Toronto, ON · 2 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 days ago,On-site
Data Analyst I,Agilus Work Solutions,"Agilus Work Solutions · Calgary, AB · 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
Quantitative Analyst,Affirm,"Affirm · Oshawa, ON · Reposted 1 day ago · 44 applicants",Remote,Reposted 1 day ago,Full-time
Senior Data Analyst,Ontario Health | Santé Ontario,"Ontario Health | Santé Ontario · Toronto, ON · 3 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 days ago,On-site
ICQA Data Analyst,Amazon,"Amazon · Hamilton, ON · Reposted 1 week ago · 44 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Marketing Data Insights Analyst, Casino",theScore,"theScore · Toronto, ON · 6 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",6 days ago,Hybrid
Senior Data Analyst,Tekvaly,"Tekvaly · Mississauga, ON · 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Business Data Analyst,Nexus Energy Inc.,"Nexus Energy Inc. · North York, ON · 2 months ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 months ago,On-site
