job_titles,company_names,company_locations,work_methods,post_dates,work_times
Master Data Analyst,Gay Lea Foods,"Gay Lea Foods · Mississauga, ON · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Analyste BI Senior,CGI,"CGI · Quebec, Canada · 1 week ago · 29 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Business Data Analyst,Nexus Energy Inc.,"Nexus Energy Inc. · North York, ON · 1 month ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 month ago,On-site
Analyste Power BI,GDG Informatique,"GDG Informatique · Québec, QC · 1 week ago · 52 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
"Expert, Data Analysis- EN",CN,"CN · Montreal, QC · 1 day ago · 47 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Data Analyst,Earls Kitchen + Bar,"Earls Kitchen + Bar · Vancouver, BC · 4 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",4 days ago,On-site
Data Analyst,INNOCEAN Canada,"INNOCEAN Canada · Toronto, ON · 2 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Data Analyst,MatchBox Consulting Group,"MatchBox Consulting Group · Burnaby, BC · 1 day ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
Data Analyst,Globalfaces Direct,"Globalfaces Direct · North York, ON · 3 weeks ago · Over 100 applicants","CA$55,000/yr - CA$60,000/yr",3 weeks ago,On-site
Data Analyst - Azure,CGI,"CGI · Halifax, NS · Reposted 2 weeks ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 weeks ago,Full-time
Senior Quantitative Analyst,Suncor,"Suncor · Calgary, AB · Reposted 8 hours ago · 75 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 8 hours ago,On-site
Quantitative Analyst,Affirm,"Affirm · Ottawa, ON · 2 weeks ago · 89 applicants",Remote,2 weeks ago,Full-time
"Data Analyst, Data Analytics",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 2 weeks ago · 80 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
Data Analyst,Drug Intelligence,"Drug Intelligence · Toronto, ON · 2 weeks ago · Over 100 applicants","CA$60,000/yr - CA$80,000/yr",2 weeks ago,Hybrid
Quality Data Analyst,Johnson Controls,"Johnson Controls · Edmonton, AB · Reposted 2 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 weeks ago,On-site
Analyste BI senior,CGI,"CGI · Montreal, QC · 2 weeks ago · 43 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
BI Data Analyst,Paymentus,"Paymentus · Greater Toronto Area, Canada · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
"ICQA Data Analyst, YYZ7",Amazon,"Amazon · Bolton, ON · Reposted 10 hours ago · 8 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 10 hours ago,Full-time
ICQA Data Analyst,Amazon,"Amazon · Hamilton, ON · Reposted 10 hours ago · 9 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 10 hours ago,Full-time
Analytics Consultant,Keasis,"Keasis · Montreal, QC · 1 day ago · 55 applicants",Remote,1 day ago,Full-time
Information Analyst,York University,"York University · Toronto, ON · Reposted 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Senior Data Analyst,Sun Life,"Sun Life · Toronto, ON · Reposted 2 hours ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 hours ago,Hybrid
Senior Data Analyst - Azure,CGI,"CGI · Edmonton, AB · Reposted 1 week ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Analyst, Gas Market Analytics",NRG Energy,"NRG Energy · Calgary, AB · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Sales Data Analyst,IFG - International Financial Group,"IFG - International Financial Group · Ontario, Canada · 23 hours ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",23 hours ago,Hybrid
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Victoria, BC · Reposted 2 hours ago · 35 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 hours ago,Full-time
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Halifax, NS · Reposted 1 hour ago · 42 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 hour ago,Full-time
"Data Analyst, Data Analytics",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 2 weeks ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Vancouver, BC · Reposted 1 hour ago · 65 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 hour ago,Full-time
Data Analyst,Balyasny Asset Management L.P.,"Balyasny Asset Management L.P. · Toronto, ON · 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
"Senior Data Analyst, Sustainability",GEOTAB,"GEOTAB · Oakville, ON · 2 weeks ago · 35 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Analyste BI,Groupe Geloso,"Groupe Geloso · Laval, QC · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
